text,createTime,diggCount,shareCount,playCount,commentCount,mentions,authorMeta.name,authorMeta.nickName,authorMeta.verified,musicMeta.musicName,musicMeta.musicAuthor,musicMeta.musicOriginal,videoMeta.height,videoMeta.width,videoMeta.duration,hashtags.name,hashtags.title
Welkom in Nederland🙋🏼‍♂️ #nederland #dutch #stamppot #voorjoupagina #fyp #foodmeme #flodder #15sworkout,1602595262,23900,505,346500,181,,chef.lukeyluc,Chef.LukeyLuc,False,Originalton,Kattyyy🍁,True,1024,576,8,fyp,
Welkom in Nederland🙋🏼‍♂️ #nederland #dutch #stamppot #voorjoupagina #fyp #foodmeme #flodder #15sworkout,1602595262,23900,505,346500,181,,chef.lukeyluc,Chef.LukeyLuc,False,Originalton,Kattyyy🍁,True,1024,576,8,foodmeme,
Welkom in Nederland🙋🏼‍♂️ #nederland #dutch #stamppot #voorjoupagina #fyp #foodmeme #flodder #15sworkout,1602595262,23900,505,346500,181,,chef.lukeyluc,Chef.LukeyLuc,False,Originalton,Kattyyy🍁,True,1024,576,8,flodder,
Welkom in Nederland🙋🏼‍♂️ #nederland #dutch #stamppot #voorjoupagina #fyp #foodmeme #flodder #15sworkout,1602595262,23900,505,346500,181,,chef.lukeyluc,Chef.LukeyLuc,False,Originalton,Kattyyy🍁,True,1024,576,8,15sworkout,"Workout in just 15 seconds? ⏱ Ready, set, go!"
Ben ik de enigste die dit doet? #foryou#pizzametananas#noticeme#xyzbca#viral#like#comment,1608118930,2501,16,71400,44,,pizza_metananas,Nina,False,original sound - 🌸Ri Za🌸,🌸Ri Za🌸,True,1024,576,11,foryou,
Ben ik de enigste die dit doet? #foryou#pizzametananas#noticeme#xyzbca#viral#like#comment,1608118930,2501,16,71400,44,,pizza_metananas,Nina,False,original sound - 🌸Ri Za🌸,🌸Ri Za🌸,True,1024,576,11,pizzametananas,
Ben ik de enigste die dit doet? #foryou#pizzametananas#noticeme#xyzbca#viral#like#comment,1608118930,2501,16,71400,44,,pizza_metananas,Nina,False,original sound - 🌸Ri Za🌸,🌸Ri Za🌸,True,1024,576,11,noticeme,
Ben ik de enigste die dit doet? #foryou#pizzametananas#noticeme#xyzbca#viral#like#comment,1608118930,2501,16,71400,44,,pizza_metananas,Nina,False,original sound - 🌸Ri Za🌸,🌸Ri Za🌸,True,1024,576,11,xyzbca,
Ben ik de enigste die dit doet? #foryou#pizzametananas#noticeme#xyzbca#viral#like#comment,1608118930,2501,16,71400,44,,pizza_metananas,Nina,False,original sound - 🌸Ri Za🌸,🌸Ri Za🌸,True,1024,576,11,viral,
Ben ik de enigste die dit doet? #foryou#pizzametananas#noticeme#xyzbca#viral#like#comment,1608118930,2501,16,71400,44,,pizza_metananas,Nina,False,original sound - 🌸Ri Za🌸,🌸Ri Za🌸,True,1024,576,11,like,
Ben ik de enigste die dit doet? #foryou#pizzametananas#noticeme#xyzbca#viral#like#comment,1608118930,2501,16,71400,44,,pizza_metananas,Nina,False,original sound - 🌸Ri Za🌸,🌸Ri Za🌸,True,1024,576,11,comment,
"ඔන්න අද මගේ GF පෙන්නනවා,ලස්සනයි ද කියන්න බලන්න 😍😍පළමු වතාවට මගේ GF පෙන්නන්නෙ හැබැයි අන්තිමට",1601017638,6126,10,74700,188,,_nisandu_kgnk_,Nisandu kaushalya💖,False,original sound,Nisandu kaushalya💖,True,1024,576,15,,
tag de gierigaard van je vriendengroep! #ruinourfriendship #loversinstead #friendship #friends #dutch #funny,1606752327,10700,104,90700,209,,pudding.broodje,I L S E,False,ruin our friendship,adam :),True,1024,576,11,ruinourfriendship,
tag de gierigaard van je vriendengroep! #ruinourfriendship #loversinstead #friendship #friends #dutch #funny,1606752327,10700,104,90700,209,,pudding.broodje,I L S E,False,ruin our friendship,adam :),True,1024,576,11,loversinstead,
tag de gierigaard van je vriendengroep! #ruinourfriendship #loversinstead #friendship #friends #dutch #funny,1606752327,10700,104,90700,209,,pudding.broodje,I L S E,False,ruin our friendship,adam :),True,1024,576,11,friendship,
tag de gierigaard van je vriendengroep! #ruinourfriendship #loversinstead #friendship #friends #dutch #funny,1606752327,10700,104,90700,209,,pudding.broodje,I L S E,False,ruin our friendship,adam :),True,1024,576,11,friends,#FriendshipDay Contest: Create a musical with some #friends and share it on Instagram and here. The best ones get featured.
tag de gierigaard van je vriendengroep! #ruinourfriendship #loversinstead #friendship #friends #dutch #funny,1606752327,10700,104,90700,209,,pudding.broodje,I L S E,False,ruin our friendship,adam :),True,1024,576,11,dutch,
tag de gierigaard van je vriendengroep! #ruinourfriendship #loversinstead #friendship #friends #dutch #funny,1606752327,10700,104,90700,209,,pudding.broodje,I L S E,False,ruin our friendship,adam :),True,1024,576,11,funny,
Makkelijk afvallen? #fatloss #gezond #fitness #fitdutchie #fitdutch  #vetverbranding #sportschool,1600786063,1086,32,48000,29,,marc.koolen,Marc,False,origineel geluid,Marc,True,1024,576,15,fatloss,
Makkelijk afvallen? #fatloss #gezond #fitness #fitdutchie #fitdutch  #vetverbranding #sportschool,1600786063,1086,32,48000,29,,marc.koolen,Marc,False,origineel geluid,Marc,True,1024,576,15,gezond,
Makkelijk afvallen? #fatloss #gezond #fitness #fitdutchie #fitdutch  #vetverbranding #sportschool,1600786063,1086,32,48000,29,,marc.koolen,Marc,False,origineel geluid,Marc,True,1024,576,15,fitness,Deja aquí tus mejores tips y rutinas para siempre estar en modo #fitness 🤳
Makkelijk afvallen? #fatloss #gezond #fitness #fitdutchie #fitdutch  #vetverbranding #sportschool,1600786063,1086,32,48000,29,,marc.koolen,Marc,False,origineel geluid,Marc,True,1024,576,15,fitdutchie,
Makkelijk afvallen? #fatloss #gezond #fitness #fitdutchie #fitdutch  #vetverbranding #sportschool,1600786063,1086,32,48000,29,,marc.koolen,Marc,False,origineel geluid,Marc,True,1024,576,15,fitdutch,
Makkelijk afvallen? #fatloss #gezond #fitness #fitdutchie #fitdutch  #vetverbranding #sportschool,1600786063,1086,32,48000,29,,marc.koolen,Marc,False,origineel geluid,Marc,True,1024,576,15,vetverbranding,
